set subject:= 2484 2488 2490 2495 2497 2502 2509 2514 2517 2519 2524 2528 2533 2537 2541 2545 2548 2550 2553 2557 2562 2566 2570 2574 2578 2582 2584 2593 2597 2602 2606 2613 2617 2624 2628 2632 2634 2636 2638 2640 2651  ;

set course_conflict[2484]:= 2488 2514 2517 2548 2582 2593 2602 2617 2632 2634 2638;
set course_conflict[2488]:= 2484 2514 2517 2593 2602 2617 2638 2651;
set course_conflict[2490]:= 2497 2519 2557 2584 2597;
set course_conflict[2495]:= 2509 2528 2636 2651;
set course_conflict[2497]:= 2490 2514 2519 2557 2584 2593 2597 2636 2640 2651;
set course_conflict[2502]:= 2519 2533 2541 2566 2574 2578 2606 2628;
set course_conflict[2509]:= 2495 2519 2528 2550 2606 2636 2640 2651;
set course_conflict[2514]:= 2484 2488 2497 2548 2557 2582 2584 2593 2606 2632 2640 2651;
set course_conflict[2517]:= 2484 2488 2602 2617 2638;
set course_conflict[2519]:= 2490 2497 2502 2509 2533 2550 2557 2574 2584 2597 2606;
set course_conflict[2524]:= 2533 2537 2545 2553 2570 2613 2624 2628 2651;
set course_conflict[2528]:= 2495 2509 2550 2606 2636 2640 2651;
set course_conflict[2533]:= 2502 2519 2524 2537 2541 2553 2562 2566 2570 2574 2578 2584 2606 2628 2651;
set course_conflict[2537]:= 2524 2533 2553 2570 2628 2651;
set course_conflict[2541]:= 2502 2533 2545 2562 2566 2574 2578 2584 2606 2613 2624 2628;
set course_conflict[2545]:= 2524 2541 2553 2562 2566 2570 2574 2606 2613 2624 2628;
set course_conflict[2548]:= 2484 2514 2582 2593 2602 2632 2634;
set course_conflict[2550]:= 2509 2519 2528 2606 2640;
set course_conflict[2553]:= 2524 2533 2537 2545 2570 2613 2624 2628 2651;
set course_conflict[2557]:= 2490 2497 2514 2519 2584 2593 2597;
set course_conflict[2562]:= 2533 2541 2545 2566 2574 2578 2584 2613 2624;
set course_conflict[2566]:= 2502 2533 2541 2545 2562 2574 2578 2584 2606 2613 2624 2628;
set course_conflict[2570]:= 2524 2533 2537 2545 2553 2613 2624 2628 2651;
set course_conflict[2574]:= 2502 2519 2533 2541 2545 2562 2566 2578 2584 2606 2613 2624 2628;
set course_conflict[2578]:= 2502 2533 2541 2562 2566 2574 2584 2606 2628;
set course_conflict[2582]:= 2484 2514 2548 2593 2602 2632 2634 2651;
set course_conflict[2584]:= 2490 2497 2514 2519 2533 2541 2557 2562 2566 2574 2578 2593 2597;
set course_conflict[2593]:= 2484 2488 2497 2514 2548 2557 2582 2584 2606 2632 2640 2651;
set course_conflict[2597]:= 2490 2497 2519 2557 2584;
set course_conflict[2602]:= 2484 2488 2517 2548 2582 2617 2632 2634 2638;
set course_conflict[2606]:= 2502 2509 2514 2519 2528 2533 2541 2545 2550 2566 2574 2578 2593 2613 2624 2628 2636 2640 2651;
set course_conflict[2613]:= 2524 2541 2545 2553 2562 2566 2570 2574 2606 2624 2628;
set course_conflict[2617]:= 2484 2488 2517 2602 2638;

set course_conflict[2624]:= 2524 2541 2545 2553 2562 2566 2570 2574 2606 2613 2628;
set course_conflict[2628]:= 2502 2524 2533 2537 2541 2545 2553 2566 2570 2574 2578 2606 2613 2624 2651;
set course_conflict[2632]:= 2484 2514 2548 2582 2593 2602 2634;
set course_conflict[2634]:= 2484 2548 2582 2602 2632;
set course_conflict[2636]:= 2495 2497 2509 2528 2606 2651;
set course_conflict[2638]:= 2484 2488 2517 2602 2617;
set course_conflict[2640]:= 2497 2509 2514 2528 2550 2593 2606;
set course_conflict[2651]:= 2488 2495 2497 2509 2514 2524 2528 2533 2537 2553 2570 2582 2593 2606 2628 2636;

set day:= 77 78 79 80 81;

set time:= 49 50;

set day_time:=(77,49)(77,50)(78,49)(78,50)(79,49)(79,50)(80,49)(80,50)(81,49)(81,50);

set batch:=  3 4 5 7 8 9 12 13 14 17 18 19;




set batch_subject[3]:= 2514 2593;
set batch_subject[4]:= 2484 2548 2582 2602 2632 2634;
set batch_subject[5]:= 2495 2509 2528 2636 2651;
set batch_subject[7]:= 2593;
set batch_subject[8]:= 2484 2488 2517 2602 2617 2638;
set batch_subject[9]:= 2509 2528 2550 2606 2640;
set batch_subject[12]:= 2545 2613 2624;
set batch_subject[13]:= 2524 2537 2553 2570 2651;
set batch_subject[14]:= 2502 2533 2574 2606 2628;
set batch_subject[17]:= 2490 2497 2519 2557 2584 2597;
set batch_subject[18]:= 2490 2497 2519 2557 2584 2597;
set batch_subject[19]:= 2541 2562 2566 2578 2584;


param: course_strength:=
2484 180
2488 76
2490 214
2495 83
2497 219
2502 172
2509 207
2514 126
2517 74
2519 217
2524 149
2528 204
2533 179
2537 147
2541 186
2545 148
2548 102
2550 121
2553 148
2557 215
2562 178
2566 183
2570 149
2574 178
2578 183
2582 102
2584 394
2593 126
2597 214
2602 174
2606 302
2613 148
2617 73
2624 149
2628 175
2632 102
2634 101
2636 84
2638 74
2640 121
2651 238
;
